State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,KRISHNA,Arhar/Tur,2001-02,Kharif,7714,Hectare,4922,Tonnes,0.638060669
Andhra Pradesh,KRISHNA,Arhar/Tur,2001-02,Rabi,80,Hectare,51,Tonnes,0.6375
Andhra Pradesh,KRISHNA,Arhar/Tur,2002-03,Kharif,7425,Hectare,3438,Tonnes,0.463030303
Andhra Pradesh,KRISHNA,Arhar/Tur,2002-03,Rabi,126,Hectare,58,Tonnes,0.46031746
Andhra Pradesh,KRISHNA,Arhar/Tur,2003-04,Kharif,9632,Hectare,6357,Tonnes,0.659987542
Andhra Pradesh,KURNOOL,Arhar/Tur,2001-02,Kharif,26743,Hectare,10216,Tonnes,0.382006506
Andhra Pradesh,KURNOOL,Arhar/Tur,2001-02,Rabi,958,Hectare,366,Tonnes,0.382045929
Andhra Pradesh,KURNOOL,Arhar/Tur,2002-03,Kharif,31397,Hectare,13187,Tonnes,0.420008281
Andhra Pradesh,KURNOOL,Arhar/Tur,2002-03,Rabi,622,Hectare,261,Tonnes,0.419614148
Andhra Pradesh,KURNOOL,Arhar/Tur,2003-04,Kharif,33380,Hectare,13552,Tonnes,0.405991612
Andhra Pradesh,KURNOOL,Arhar/Tur,2003-04,Rabi,197,Hectare,80,Tonnes,0.406091371
Andhra Pradesh,MAHBUBNAGAR,Arhar/Tur,2001-02,Kharif,57586,Hectare,16297,Tonnes,0.283002813
Andhra Pradesh,MAHBUBNAGAR,Arhar/Tur,2001-02,Rabi,7,Hectare,2,Tonnes,0.285714286
Andhra Pradesh,MAHBUBNAGAR,Arhar/Tur,2002-03,Kharif,58008,Hectare,24073,Tonnes,0.414994484
Andhra Pradesh,MAHBUBNAGAR,Arhar/Tur,2003-04,Kharif,60205,Hectare,24022,Tonnes,0.399003405
Andhra Pradesh,MAHBUBNAGAR,Arhar/Tur,2003-04,Rabi,2,Hectare,1,Tonnes,0.5
Andhra Pradesh,MEDAK,Arhar/Tur,2001-02,Kharif,19399,Hectare,9971,Tonnes,0.513995567
Andhra Pradesh,MEDAK,Arhar/Tur,2002-03,Kharif,18894,Hectare,6122,Tonnes,0.324018207
Andhra Pradesh,MEDAK,Arhar/Tur,2002-03,Rabi,44,Hectare,14,Tonnes,0.318181818
Andhra Pradesh,MEDAK,Arhar/Tur,2003-04,Kharif,24559,Hectare,12746,Tonnes,0.518995073
Andhra Pradesh,MEDAK,Arhar/Tur,2003-04,Rabi,7,Hectare,4,Tonnes,0.571428571
Andhra Pradesh,NALGONDA,Arhar/Tur,2001-02,Kharif,23250,Hectare,6092,Tonnes,0.262021505
Andhra Pradesh,NALGONDA,Arhar/Tur,2001-02,Rabi,391,Hectare,102,Tonnes,0.260869565
Andhra Pradesh,NALGONDA,Arhar/Tur,2002-03,Kharif,24912,Hectare,5281,Tonnes,0.211986191
Andhra Pradesh,NALGONDA,Arhar/Tur,2002-03,Rabi,713,Hectare,151,Tonnes,0.211781206
Andhra Pradesh,NALGONDA,Arhar/Tur,2003-04,Kharif,37021,Hectare,18844,Tonnes,0.509008401
Andhra Pradesh,NALGONDA,Arhar/Tur,2003-04,Rabi,865,Hectare,440,Tonnes,0.50867052
Andhra Pradesh,NIZAMABAD,Arhar/Tur,2001-02,Kharif,2615,Hectare,565,Tonnes,0.216061185
Andhra Pradesh,NIZAMABAD,Arhar/Tur,2001-02,Rabi,40,Hectare,9,Tonnes,0.225
Andhra Pradesh,NIZAMABAD,Arhar/Tur,2002-03,Kharif,2004,Hectare,749,Tonnes,0.373752495
Andhra Pradesh,NIZAMABAD,Arhar/Tur,2002-03,Rabi,1,Hectare,,Tonnes,0
Andhra Pradesh,NIZAMABAD,Arhar/Tur,2003-04,Kharif,2420,Hectare,813,Tonnes,0.335950413
Andhra Pradesh,NIZAMABAD,Arhar/Tur,2003-04,Rabi,9,Hectare,3,Tonnes,0.333333333
Andhra Pradesh,PRAKASAM,Arhar/Tur,2001-02,Kharif,60581,Hectare,29139,Tonnes,0.48099239
Andhra Pradesh,PRAKASAM,Arhar/Tur,2001-02,Rabi,667,Hectare,321,Tonnes,0.48125937
Andhra Pradesh,PRAKASAM,Arhar/Tur,2002-03,Kharif,54781,Hectare,12271,Tonnes,0.224001022
Andhra Pradesh,PRAKASAM,Arhar/Tur,2002-03,Rabi,650,Hectare,146,Tonnes,0.224615385
Andhra Pradesh,PRAKASAM,Arhar/Tur,2003-04,Kharif,78397,Hectare,27125,Tonnes,0.345995382
Andhra Pradesh,PRAKASAM,Arhar/Tur,2003-04,Rabi,398,Hectare,138,Tonnes,0.346733668
Andhra Pradesh,RANGAREDDI,Arhar/Tur,2001-02,Kharif,33183,Hectare,14567,Tonnes,0.438989844
Andhra Pradesh,RANGAREDDI,Arhar/Tur,2002-03,Kharif,32736,Hectare,19151,Tonnes,0.585013441
Andhra Pradesh,RANGAREDDI,Arhar/Tur,2003-04,Kharif,35790,Hectare,26306,Tonnes,0.735009779
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2001-02,Kharif,643,Hectare,375,Tonnes,0.583203733
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2001-02,Rabi,108,Hectare,63,Tonnes,0.583333333
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2002-03,Kharif,402,Hectare,141,Tonnes,0.350746269
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2002-03,Rabi,579,Hectare,203,Tonnes,0.350604491
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2003-04,Kharif,2628,Hectare,1112,Tonnes,0.423135464
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2003-04,Rabi,586,Hectare,248,Tonnes,0.423208191
Andhra Pradesh,SRIKAKULAM,Arhar/Tur,2001-02,Kharif,1395,Hectare,813,Tonnes,0.582795699
Andhra Pradesh,SRIKAKULAM,Arhar/Tur,2002-03,Kharif,1523,Hectare,533,Tonnes,0.34996717
Andhra Pradesh,SRIKAKULAM,Arhar/Tur,2003-04,Kharif,1573,Hectare,665,Tonnes,0.422759059
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,2001-02,Kharif,4847,Hectare,1507,Tonnes,0.310913967
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,2001-02,Rabi,47,Hectare,15,Tonnes,0.319148936
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,2002-03,Kharif,4701,Hectare,1575,Tonnes,0.335035099
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,2003-04,Kharif,4274,Hectare,2188,Tonnes,0.511932616
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,2003-04,Rabi,6,Hectare,3,Tonnes,0.5
Andhra Pradesh,VIZIANAGARAM,Arhar/Tur,2001-02,Kharif,1313,Hectare,765,Tonnes,0.582635187
Andhra Pradesh,VIZIANAGARAM,Arhar/Tur,2002-03,Kharif,1587,Hectare,555,Tonnes,0.349716446
Andhra Pradesh,VIZIANAGARAM,Arhar/Tur,2003-04,Kharif,1871,Hectare,791,Tonnes,0.422768573
Andhra Pradesh,WARANGAL,Arhar/Tur,2001-02,Kharif,24587,Hectare,13302,Tonnes,0.541017611
Andhra Pradesh,WARANGAL,Arhar/Tur,2001-02,Rabi,318,Hectare,172,Tonnes,0.540880503
Andhra Pradesh,WARANGAL,Arhar/Tur,2002-03,Kharif,21213,Hectare,9227,Tonnes,0.434969123
Andhra Pradesh,WARANGAL,Arhar/Tur,2002-03,Rabi,1782,Hectare,775,Tonnes,0.434904602
Andhra Pradesh,WARANGAL,Arhar/Tur,2003-04,Kharif,27449,Hectare,11501,Tonnes,0.418995228
Andhra Pradesh,WARANGAL,Arhar/Tur,2003-04,Rabi,1442,Hectare,604,Tonnes,0.418862691
Andhra Pradesh,WEST GODAVARI,Arhar/Tur,2001-02,Kharif,182,Hectare,106,Tonnes,0.582417582
Andhra Pradesh,WEST GODAVARI,Arhar/Tur,2001-02,Rabi,10,Hectare,6,Tonnes,0.6
Andhra Pradesh,WEST GODAVARI,Arhar/Tur,2002-03,Kharif,245,Hectare,86,Tonnes,0.351020408
Andhra Pradesh,WEST GODAVARI,Arhar/Tur,2002-03,Rabi,82,Hectare,29,Tonnes,0.353658537
Andhra Pradesh,WEST GODAVARI,Arhar/Tur,2003-04,Kharif,577,Hectare,244,Tonnes,0.42287695
Andhra Pradesh,WEST GODAVARI,Arhar/Tur,2003-04,Rabi,119,Hectare,50,Tonnes,0.420168067
Andhra Pradesh,ADILABAD,Bajra,2001-02,Rabi,628,Hectare,293,Tonnes,0.46656051
Andhra Pradesh,ADILABAD,Bajra,2002-03,Rabi,960,Hectare,455,Tonnes,0.473958333
Andhra Pradesh,ADILABAD,Bajra,2003-04,Rabi,1820,Hectare,1112,Tonnes,0.610989011
Andhra Pradesh,ANANTAPUR,Bajra,2001-02,Kharif,1595,Hectare,526,Tonnes,0.329780564
Andhra Pradesh,ANANTAPUR,Bajra,2001-02,Rabi,27,Hectare,9,Tonnes,0.333333333
Andhra Pradesh,ANANTAPUR,Bajra,2002-03,Kharif,1925,Hectare,581,Tonnes,0.301818182
Andhra Pradesh,ANANTAPUR,Bajra,2002-03,Rabi,129,Hectare,39,Tonnes,0.302325581
Andhra Pradesh,ANANTAPUR,Bajra,2003-04,Kharif,2280,Hectare,378,Tonnes,0.165789474
Andhra Pradesh,ANANTAPUR,Bajra,2003-04,Rabi,113,Hectare,19,Tonnes,0.168141593
Andhra Pradesh,CHITTOOR,Bajra,2001-02,Kharif,2934,Hectare,3556,Tonnes,1.211997273
Andhra Pradesh,CHITTOOR,Bajra,2001-02,Rabi,258,Hectare,313,Tonnes,1.213178295
Andhra Pradesh,CHITTOOR,Bajra,2002-03,Kharif,2366,Hectare,1171,Tonnes,0.494928149
Andhra Pradesh,CHITTOOR,Bajra,2002-03,Rabi,42,Hectare,21,Tonnes,0.5
Andhra Pradesh,CHITTOOR,Bajra,2003-04,Kharif,2166,Hectare,3611,Tonnes,1.667128347
Andhra Pradesh,CHITTOOR,Bajra,2003-04,Rabi,36,Hectare,60,Tonnes,1.666666667
Andhra Pradesh,EAST GODAVARI,Bajra,2001-02,Kharif,2219,Hectare,2048,Tonnes,0.92293826
Andhra Pradesh,EAST GODAVARI,Bajra,2002-03,Kharif,1196,Hectare,1051,Tonnes,0.878762542
Andhra Pradesh,EAST GODAVARI,Bajra,2003-04,Kharif,2698,Hectare,2301,Tonnes,0.852853966
Andhra Pradesh,GUNTUR,Bajra,2001-02,Kharif,77,Hectare,76,Tonnes,0.987012987
Andhra Pradesh,GUNTUR,Bajra,2001-02,Rabi,43,Hectare,43,Tonnes,1
Andhra Pradesh,GUNTUR,Bajra,2002-03,Kharif,419,Hectare,356,Tonnes,0.849642005
Andhra Pradesh,GUNTUR,Bajra,2002-03,Rabi,6,Hectare,5,Tonnes,0.833333333
Andhra Pradesh,GUNTUR,Bajra,2003-04,Kharif,16082,Hectare,21839,Tonnes,1.357977863
Andhra Pradesh,GUNTUR,Bajra,2003-04,Rabi,197,Hectare,268,Tonnes,1.360406091
Andhra Pradesh,KADAPA,Bajra,2001-02,Kharif,1395,Hectare,2514,Tonnes,1.802150538
Andhra Pradesh,KADAPA,Bajra,2001-02,Rabi,1524,Hectare,2746,Tonnes,1.80183727
Andhra Pradesh,KADAPA,Bajra,2002-03,Kharif,2866,Hectare,2814,Tonnes,0.981856246
Andhra Pradesh,KADAPA,Bajra,2002-03,Rabi,674,Hectare,661,Tonnes,0.980712166
Andhra Pradesh,KADAPA,Bajra,2003-04,Kharif,4332,Hectare,3829,Tonnes,0.88388735
Andhra Pradesh,KADAPA,Bajra,2003-04,Rabi,992,Hectare,877,Tonnes,0.884072581
Andhra Pradesh,KARIMNAGAR,Bajra,2001-02,Rabi,471,Hectare,220,Tonnes,0.467091295
Andhra Pradesh,KARIMNAGAR,Bajra,2002-03,Rabi,330,Hectare,156,Tonnes,0.472727273
Andhra Pradesh,KARIMNAGAR,Bajra,2003-04,Rabi,939,Hectare,574,Tonnes,0.611288605
Andhra Pradesh,KHAMMAM,Bajra,2001-02,Kharif,124,Hectare,58,Tonnes,0.467741935
Andhra Pradesh,KHAMMAM,Bajra,2001-02,Rabi,73,Hectare,34,Tonnes,0.465753425
Andhra Pradesh,KHAMMAM,Bajra,2002-03,Kharif,292,Hectare,138,Tonnes,0.47260274
Andhra Pradesh,KHAMMAM,Bajra,2002-03,Rabi,24,Hectare,11,Tonnes,0.458333333
Andhra Pradesh,KHAMMAM,Bajra,2003-04,Kharif,675,Hectare,412,Tonnes,0.61037037
Andhra Pradesh,KHAMMAM,Bajra,2003-04,Rabi,61,Hectare,37,Tonnes,0.606557377
Andhra Pradesh,KRISHNA,Bajra,2003-04,Kharif,10,Hectare,14,Tonnes,1.4
Andhra Pradesh,KURNOOL,Bajra,2001-02,Kharif,13932,Hectare,11062,Tonnes,0.793999426
Andhra Pradesh,KURNOOL,Bajra,2001-02,Rabi,184,Hectare,146,Tonnes,0.793478261
Andhra Pradesh,KURNOOL,Bajra,2002-03,Kharif,10352,Hectare,6863,Tonnes,0.662963679
Andhra Pradesh,KURNOOL,Bajra,2002-03,Rabi,362,Hectare,240,Tonnes,0.662983425
Andhra Pradesh,KURNOOL,Bajra,2003-04,Kharif,14793,Hectare,17707,Tonnes,1.196985061
Andhra Pradesh,KURNOOL,Bajra,2003-04,Rabi,236,Hectare,282,Tonnes,1.194915254
Andhra Pradesh,MAHBUBNAGAR,Bajra,2001-02,Kharif,17952,Hectare,8617,Tonnes,0.480002228
Andhra Pradesh,MAHBUBNAGAR,Bajra,2001-02,Rabi,29,Hectare,14,Tonnes,0.482758621
Andhra Pradesh,MAHBUBNAGAR,Bajra,2002-03,Kharif,11793,Hectare,6498,Tonnes,0.551004833
Andhra Pradesh,MAHBUBNAGAR,Bajra,2002-03,Rabi,1,Hectare,1,Tonnes,1
Andhra Pradesh,MAHBUBNAGAR,Bajra,2003-04,Kharif,11501,Hectare,6671,Tonnes,0.580036519
Andhra Pradesh,MAHBUBNAGAR,Bajra,2003-04,Rabi,48,Hectare,28,Tonnes,0.583333333
Andhra Pradesh,MEDAK,Bajra,2001-02,Kharif,870,Hectare,406,Tonnes,0.466666667
Andhra Pradesh,MEDAK,Bajra,2002-03,Kharif,588,Hectare,279,Tonnes,0.474489796
Andhra Pradesh,MEDAK,Bajra,2003-04,Kharif,665,Hectare,406,Tonnes,0.610526316
Andhra Pradesh,MEDAK,Bajra,2003-04,Rabi,9,Hectare,5,Tonnes,0.555555556
